ID_MEMORABILIA,SHOW_ID,DATUM,MESTO,STAT,VENUE,KATEGORIE,SOUBOR_SKEN,CONTRIBUTOR,LINEUP,SETLIST,POCET_SKLADEB,SETLIST_URL,YOUTUBE_URL,REVIEW_URL,SETLIST_FM_URL,TOUR_ID,TOUR_NAME,STATUS,ORIGINAL_DATE,NOTE
TICKET_0589,SHOW_2005-06-26_BERLIN,2005-06-26,Berlin,Germany,Universität der Künste,tickets,"kk-bk-020.jpg,kk-joe-jackson-2005-06-26.jpg","Björn Krüger, Germany","Joe Jackson (vocals, piano, keyboards) ; Graham Maby (bass, backing vocals) ; Dave Houghton (drums, backing vocals)","Home Town, Steppin' Out, Awkward Age (cover of Joe Jackson Band), Take It Like a Man (cover of Joe Jackson Band), It's Different for Girls, On Your Radio, Love at First Light (cover of Joe Jackson Band), Be My Number Two, Citizen Sane, Is She Really Going Out With Him?",10.0,https://www.setlist.fm/setlist/joe-jackson/2005/universitat-der-kunste-konzertsaal-berlin-germany-bedadea.html,,,https://www.setlist.fm/setlist/joe-jackson/2005/universitat-der-kunste-konzertsaal-berlin-germany-bedadea.html,tour-joe-jackson-todd-rundgren-2005,2005 * Tour with Todd Rundgren,,,
TICKET_0590,SHOW_2005-07-04_BARCELONA,2005-07-04,Barcelona,Spain,Barcelona Teatre Musical,tickets,kk-joe-jackson-barcelona-2005.jpg,"Joan Farran, Spain","Joe Jackson (vocals, piano, keyboards) ; Graham Maby (bass, backing vocals) ; Dave Houghton (drums, backing vocals)","Home Town, Steppin' Out, Awkward Age (cover of Joe Jackson Band), Take It Like a Man (cover of Joe Jackson Band), It's Different for Girls, On Your Radio, Love at First Light (cover of Joe Jackson Band), Be My Number Two, Citizen Sane, Is She Really Going Out With Him?",10.0,https://www.setlist.fm/setlist/joe-jackson/2005/barcelona-teatre-musical-barcelona-spain-538e9be5.html,,,https://www.setlist.fm/setlist/joe-jackson/2005/barcelona-teatre-musical-barcelona-spain-538e9be5.html,tour-joe-jackson-todd-rundgren-2005,2005 * Tour with Todd Rundgren,,,
TICKET_0591,SHOW_2005-01-01_2005,,,,,passes,kk-joe-jackson-2005-pass-1.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, piano, keyboards) ; Graham Maby (bass, backing vocals) ; Dave Houghton (drums, backing vocals)",,0.0,,,,,tour-2005-joe-jackson-todd-rundgren,2005 * Tour with Todd Rundgren,,,
TICKET_0592,SHOW_2005-06-05_LONDON,2005-06-05,London,U.K.,,passes,kk-joe-jackson-2005-pass-2.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, piano, keyboards) ; Graham Maby (bass, backing vocals) ; Dave Houghton (drums, backing vocals)","Home Town, Steppin' Out, Awkward Age (cover of Joe Jackson Band), Take It Like a Man (cover of Joe Jackson Band), It's Different for Girls, On Your Radio, Love at First Light (cover of Joe Jackson Band), Hello, Hello, Who's Your Lady Friend? (cover of Harry Fragson), Drowning, Citizen Sane, Is She Really Going Out With Him?",13.0,https://www.setlist.fm/setlist/joe-jackson/2005/carling-apollo-hammersmith-london-england-7bdbc67c.html,,,https://www.setlist.fm/setlist/joe-jackson/2005/carling-apollo-hammersmith-london-england-7bdbc67c.html,tour-2005-joe-jackson-todd-rundgren,2005 * Tour with Todd Rundgren,,,
TICKET_0593,SHOW_1994-11-25_REDBANK,1994-11-25,Red Bank,NJ,Count Basie Theatre,tickets,"kk-joe-jackson-1994-11-25.jpg, kk-joe-jackson-1994-11-25-2.jpg","Benjamin Davis, U.S.A.","Joe Jackson (vocals, piano, keyboards) ; Graham Maby (bass, vocals) ; Mary Rowell (violin) ; Dan Hickey (drums)",,0.0,https://www.setlist.fm/setlist/joe-jackson/1994/count-basie-theatre-red-bank-nj-5b848f64.html,,,https://www.setlist.fm/setlist/joe-jackson/1994/count-basie-theatre-red-bank-nj-5b848f64.html,tour-night-music-1995,"1994 / 1995 * The ""Night Music"" Tour",,,
TICKET_0594,SHOW_1994-11-28_NEWYORK,1994-11-28,New York,NY,Beacon Theater,tickets,"kk-joe-jackson-1994-11-28.jpg, kk-jn-13.jpg","John Nyman, U.S.A.","Joe Jackson (vocals, piano, keyboards) ; Graham Maby (bass, vocals) ; Mary Rowell (violin) ; Dan Hickey (drums)","Flying, Home Town, Real Men, Nocturne No. 4, Is She Really Going Out With Him? / It's Different for Girls, The Other Me, Stranger Than Fiction, The Man Who Wrote Danny Boy, Sea of Secrets, Nocturne No. 2, Down to London, Ever After, Lullaby, Only the Future, Another World, Chinatown, Breaking Us in Two, You Can't Get What You Want (Till You Know What You Want), [Encore 1], Got the Time (Joe on electric guitar), I'm the Man (Joe on electric guitar), Steppin' Out",21.0,https://www.setlist.fm/setlist/joe-jackson/1994/beacon-theatre-new-york-ny-23cdbc9b.html,,,https://www.setlist.fm/setlist/joe-jackson/1994/beacon-theatre-new-york-ny-23cdbc9b.html,tour-night-music-1995,"1994 / 1995 * The ""Night Music"" Tour",,,
TICKET_0595,SHOW_1994-12-05_MINNEAPOLIS,1994-12-05,Minneapolis,MN,Guthrie Theater,tickets,kk-joe-jackson-1994-12-05.jpg,"Shan Lines, U.S.A.","Joe Jackson (vocals, piano, keyboards) ; Graham Maby (bass, vocals) ; Mary Rowell (violin) ; Dan Hickey (drums)",,0.0,https://www.setlist.fm/setlist/joe-jackson/1994/guthrie-theater-minneapolis-mn-1bd52d64.html,,,https://www.setlist.fm/setlist/joe-jackson/1994/guthrie-theater-minneapolis-mn-1bd52d64.html,tour-night-music-1995,"1994 / 1995 * The ""Night Music"" Tour",,,
TICKET_0596,SHOW_1994-12-06_CHICAGO,1994-12-06,Chicago,IL,Bismarck,tickets,kk-joe-jackson-1994-12-06.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, piano, keyboards) ; Graham Maby (bass, vocals) ; Mary Rowell (violin) ; Dan Hickey (drums)","Flying, Home Town, Real Men, Nocturne No. 4, Is She Really Going Out With Him? / It's Different for Girls, The Other Me, Stranger Than Fiction, The Man Who Wrote Danny Boy, Sea of Secrets, Nocturne No. 2, Down to London, Tango Atlantico, Ever After, Lullaby (partially from tape), Only the Future, Another World, Chinatown, Breaking Us in Two, You Can't Get What You Want (Till You Know What You Want), [Encore 1], Got the Time, I'm the Man, Steppin' Out",22.0,https://www.setlist.fm/setlist/joe-jackson/1994/bismarck-theatre-chicago-il-bd52d5a.html,,,https://www.setlist.fm/setlist/joe-jackson/1994/bismarck-theatre-chicago-il-bd52d5a.html,tour-night-music-1995,"1994 / 1995 * The ""Night Music"" Tour",,,
TICKET_0597,SHOW_1994-12-12_SANFRANCISCO,1994-12-12,San Francisco,CA,The Warfield,tickets,kk-gs-joe-jackson-1994-12-12.jpg,"Gert Schaumlöffel, Germany","Joe Jackson (vocals, piano, keyboards) ; Graham Maby (bass, vocals) ; Mary Rowell (violin) ; Dan Hickey (drums)","Is She Really Going Out With Him? / It's Different for Girls, The Man Who Wrote Danny Boy, [Encore 1], I'm the Man, Steppin' Out",4.0,https://www.setlist.fm/setlist/joe-jackson/1994/the-warfield-san-francisco-ca-53fce369.html,,,https://www.setlist.fm/setlist/joe-jackson/1994/the-warfield-san-francisco-ca-53fce369.html,tour-night-music-1995,"1994 / 1995 * The ""Night Music"" Tour",,,
TICKET_0598,SHOW_1994-12-14_LOSANGELES,1994-12-14,Los Angeles,CA,The Wiltern Theatre,tickets,kk-joe-jackson-1994-12-14.jpg,anonymous,"Joe Jackson (vocals, piano, keyboards) ; Graham Maby (bass, vocals) ; Mary Rowell (violin) ; Dan Hickey (drums)",,0.0,https://www.setlist.fm/setlist/joe-jackson/1994/wiltern-theatre-los-angeles-ca-33eb0c9d.html,,,https://www.setlist.fm/setlist/joe-jackson/1994/wiltern-theatre-los-angeles-ca-33eb0c9d.html,tour-night-music-1995,"1994 / 1995 * The ""Night Music"" Tour",,,
